Lead Programmer,Programmer,Lead Level Designer,Level Designer,Art Director,Prop & Level Artist,Character Artist,Character Animator,Level Design Concept Art,Character Concept Art,Prop Concept Art,QA Lead,Tester
Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Ignacio López Fernández,Bianca Adriana Marinica,Ignacio López Fernández,Ignacio López Fernández,Bianca Marinica,Alejandro Vila Cotillas,Jhoan Alexis López,Ignacio López Fernández,Arón Hernández Moreno
,Bianca Adriana Marinica,,Bianca Adriana Marinica,,Ignacio López Fernández,,,,,Bianca Marinica,,Paula López Fernández
,,,,,,,,,,,,Marcos Isar Martínez
,,,,,,,,,,,,Alumnos de 1º A3DJEI de CampusFP
,,,,,,,,,,,,Bianca Adriana Marinica
,,,,,,,,,,,,Ignacio López Fernández
